#t p q a dW
22.8 -0.705441 -0.0485168 0.0484977 0.754711
22.9 -0.697084 -0.118701 0.118423 -0.56498
23 -0.681814 -0.187703 0.186603 -0.293222
23.1 -0.659854 -0.254841 0.252092 -0.441088
23.2 -0.631514 -0.319461 0.314055 0.132952
23.3 -0.597183 -0.380944 0.371797 -1.9543
23.4 -0.557313 -0.438713 0.424775 2.02575
23.5 -0.5124 -0.492239 0.4726 -0.83539
23.6 -0.462973 -0.541043 0.51503 1.34263
23.7 -0.409578 -0.584701 0.55195 -0.917563
23.8 -0.352767 -0.622845 0.583348 0.672652
23.9 -0.293091 -0.655159 0.609285 -1.00479
24 -0.231089 -0.681385 0.62987 1.21272
24.1 -0.167291 -0.701317 0.645224 0.578115
24.2 -0.102214 -0.714801 0.655467 2.72641
24.3 -0.0363651 -0.721734 0.660687 0.476732
24.4 0.0297574 -0.722065 0.660936 -0.928556
24.5 0.0956564 -0.71579 0.656214 -0.864711
24.6 0.160833 -0.702957 0.646477 0.962851
24.7 0.224782 -0.683664 0.631638 -0.0557941
24.8 0.286987 -0.658059 0.611583 -0.47992
24.9 0.34692 -0.626343 0.586186 -0.257332
25 0.404042 -0.588769 0.555338 0.376697
25.1 0.457804 -0.545646 0.518971 -1.18985
25.2 0.507652 -0.497339 0.477088 0.68705
25.3 0.553041 -0.444265 0.429794 0.594408
25.4 0.593438 -0.386897 0.377316 1.29055
25.5 0.628344 -0.32576 0.320029 -0.493758
25.6 0.657301 -0.261426 0.258459 0.378294
25.7 0.679915 -0.194511 0.193287 0.124325
25.8 0.695866 -0.125666 0.125335 -0.437046
25.9 0.704921 -0.0555681 0.0555395 0.136238
26 0.706946 0.0150841 -0.0150835 1.18104
26.1 0.701911 0.0855856 -0.0854812 -0.291121
26.2 0.689892 0.155233 -0.154611 -0.2152
26.3 0.671065 0.223337 -0.221485 1.05386
26.4 0.6457 0.289228 -0.285213 -3.02671
26.5 0.614152 0.352271 -0.34503 -1.25178
26.6 0.576845 0.411867 -0.400321 -0.137206
26.7 0.534255 0.467464 -0.450624 1.14341
26.8 0.486897 0.518559 -0.495629 -0.279767
26.9 0.435311 0.564702 -0.535164 1.32796
27 0.380049 0.605499 -0.569172 -1.23473
27.1 0.32166 0.640608 -0.597683 -0.97935
27.2 0.260692 0.669745 -0.620786 -1.1226
27.3 0.197679 0.692678 -0.6386 -0.32428
27.4 0.133144 0.70923 -0.65125 0.492974
27.5 0.0675982 0.719273 -0.658838 0.392828
27.6 0.00154309 0.722733 -0.661437 -0.566758
27.7 -0.0645236 0.719582 -0.65907 0.701496
27.8 -0.130105 0.709844 -0.651715 2.06108
27.9 -0.194698 0.693594 -0.639305 -1.12951
28 -0.257794 0.670954 -0.621734 0.0446395
28.1 -0.318869 0.642102 -0.59888 -1.07007
28.2 -0.37739 0.607266 -0.570624 0.147406
28.3 -0.43281 0.566728 -0.536874 0.671374
28.4 -0.48458 0.520825 -0.497596 0.135156
28.5 -0.532147 0.469952 -0.452843 0.356396
28.6 -0.574971 0.414554 -0.402782 0.068372
28.7 -0.612536 0.355133 -0.347715 -0.198762
28.8 -0.644363 0.292238 -0.288096 -0.970777
28.9 -0.670024 0.226466 -0.224535 -2.08354
29 -0.689163 0.158451 -0.157788 1.22087
29.1 -0.701505 0.0888597 -0.0887428 0.0534051
29.2 -0.706868 0.0183824 -0.0183814 -0.199493
29.3 -0.705172 -0.0522785 0.0522547 0.906146
29.4 -0.696443 -0.122417 0.122112 -2.06421
29.5 -0.68081 -0.191337 0.190171 -2.07844
29.6 -0.6585 -0.258357 0.255492 1.0068
29.7 -0.62983 -0.322825 0.317247 0.885023
29.8 -0.595193 -0.384124 0.374747 0.610573
29.9 -0.555041 -0.441679 0.427458 -0.031021
30 -0.509873 -0.494965 0.475001 -2.09327
30.1 -0.460221 -0.543505 0.517139 0.170273
30.2 -0.40663 -0.586878 0.553764 0.175257
30.3 -0.349652 -0.624718 0.584868 1.03153
30.4 -0.289838 -0.656714 0.610517 -1.63885
30.5 -0.227727 -0.682609 0.630819 0.185668
30.6 -0.163848 -0.7022 0.645899 0.513159
30.7 -0.0987174 -0.715337 0.655872 -1.68057
30.8 -0.032841 -0.721919 0.660826 0.589789
30.9 0.0332821 -0.721897 0.660809 0.321705
31 0.0991552 -0.715271 0.655822 1.15987
31.1 0.164279 -0.702091 0.645815 0.5386
31.2 0.228148 -0.682457 0.630701 0.29041
31.3 0.290245 -0.65652 0.610364 1.9016
31.4 0.350043 -0.624484 0.584679 0.481598
31.5 0.406999 -0.586606 0.553538 0.474631
31.6 0.460566 -0.543197 0.516876 -0.884264
31.7 0.51019 -0.494624 0.474701 1.07629
31.8 0.555326 -0.441309 0.427123 1.35045
31.9 0.595443 -0.383726 0.374378 0.0331337
32 0.630042 -0.322404 0.316848 1.41574
32.1 0.65867 -0.257917 0.255067 -0.779489
32.2 0.680936 -0.190882 0.189725 0.0250631
32.3 0.696524 -0.121953 0.12165 -0.368115
32.4 0.705207 -0.0518077 0.0517845 0.666523
32.5 0.706855 0.0188543 -0.0188532 2.11879
32.6 0.701446 0.089328 -0.0892092 2.18957
32.7 0.689058 0.158911 -0.158243 1.50526
32.8 0.669874 0.226913 -0.224971 -2.04284
32.9 0.64417 0.292668 -0.288508 1.5277
33 0.612304 0.355541 -0.348098 -0.56513
33.1 0.574702 0.414938 -0.403133 -2.3212
33.2 0.531845 0.470307 -0.45316 -1.88635
33.3 0.484248 0.521149 -0.497877 -1.30227
33.4 0.432452 0.567016 -0.537118 0.171015
33.5 0.377009 0.607517 -0.570831 -0.419275
33.6 0.318469 0.642315 -0.599051 -1.41125
33.7 0.257379 0.671126 -0.621868 -1.77446
33.8 0.194271 0.693723 -0.639404 -0.294613
33.9 0.12967 0.709931 -0.651781 0.778414
34 0.0640837 0.719624 -0.659102 0.301545
34.1 -0.00198464 0.722731 -0.661436 -2.38298
34.2 -0.068038 0.719228 -0.658804 -0.556908
34.3 -0.133579 0.709141 -0.651182 -0.594885
34.4 -0.198106 0.692546 -0.638499 0.338469
34.5 -0.261107 0.669571 -0.620649 0.609548
34.6 -0.322059 0.640393 -0.597511 1.31053
34.7 -0.380428 0.605245 -0.568963 -0.6695
34.8 -0.435669 0.564412 -0.534919 -0.237942
34.9 -0.487228 0.518234 -0.495347 1.09993
35 -0.534555 0.467107 -0.450305 -0.733616
35.1 -0.577112 0.411482 -0.399968 -0.209661
35.2 -0.614383 0.351861 -0.344645 0.557104
35.3 -0.64589 0.288797 -0.284799 0.86403
35.4 -0.671212 0.222889 -0.221048 0.898615
35.5 -0.689995 0.154773 -0.154156 0.509222
35.6 -0.701968 0.085117 -0.0850143 0.928843
35.7 -0.706956 0.0146121 -0.0146116 -0.965479
35.8 -0.704883 -0.0560387 0.0560094 2.77599
35.9 -0.695782 -0.12613 0.125796 1.12752
36 -0.679786 -0.194965 0.193732 0.585357
36.1 -0.657128 -0.261865 0.258883 0.377326
36.2 -0.62813 -0.326179 0.320426 0.806914
36.3 -0.593186 -0.387293 0.377683 0.696542
36.4 -0.552754 -0.444634 0.430127 1.17462
36.5 -0.507334 -0.497677 0.477386 0.212059
36.6 -0.457457 -0.545952 0.519232 -0.100981
36.7 -0.403671 -0.589039 0.555562 -1.46545
36.8 -0.346529 -0.626574 0.586373 -0.581364
36.9 -0.286578 -0.658251 0.611734 0.794154
37 -0.22436 -0.683814 0.631754 -1.28719
37.1 -0.160401 -0.703065 0.646559 1.85254
37.2 -0.0952183 -0.715854 0.656262 2.34514
37.3 -0.0293162 -0.722084 0.66095 0.738334
37.4 0.0368061 -0.72171 0.660669 -1.56712
37.5 0.102652 -0.714732 0.655415 -0.140765
37.6 0.167722 -0.701205 0.645139 -0.200789
37.7 0.231509 -0.681231 0.62975 -1.02084
37.8 0.293497 -0.654963 0.60913 0.902408
37.9 0.353157 -0.622609 0.583157 0.460912
38 0.409947 -0.584428 0.551722 -0.158613
38.1 0.463317 -0.540734 0.514765 -0.684128
38.2 0.512716 -0.491896 0.472298 1.40038
38.3 0.557597 -0.438341 0.424438 -0.339579
38.4 0.597432 -0.380545 0.371427 -3.33395
38.5 0.631723 -0.319039 0.313655 0.044892
38.6 0.660022 -0.254401 0.251665 1.02411
38.7 0.681939 -0.187248 0.186156 0.721955
38.8 0.697163 -0.118236 0.117961 0.326725
38.9 0.705473 -0.0480458 0.0480273 -0.185524
39 0.706745 0.022624 -0.022622 0.253487
39.1 0.70096 0.0930678 -0.0929335 -1.22243
39.2 0.688204 0.162583 -0.161868 0.445034
39.3 0.668665 0.230482 -0.228447 -1.89325
39.4 0.642623 0.2961 -0.291792 -0.629443
39.5 0.610439 0.358802 -0.351153 0.88234
39.6 0.572545 0.417997 -0.405931 -0.666669
39.7 0.529421 0.473137 -0.455681 -0.764569
39.8 0.481586 0.523724 -0.500109 0.257303
39.9 0.429582 0.569315 -0.539055 0.00310961
40 0.37396 0.60952 -0.572474 0.847843
40.1 0.31527 0.644005 -0.600403 0.785674
40.2 0.254059 0.67249 -0.622936 1.12743
40.3 0.190859 0.69475 -0.640194 0.772014
40.4 0.126192 0.710613 -0.652299 -0.68244
40.5 0.0605677 0.719957 -0.659352 1.29299
40.6 -0.00551232 0.722711 -0.661421 -0.227995
40.7 -0.071551 0.718856 -0.658524 -1.64477
40.8 -0.137051 0.708419 -0.650634 1.20854
40.9 -0.201509 0.69148 -0.637678 -0.190537
41 -0.264414 0.668169 -0.61955 0.262718
41.1 -0.325242 0.638667 -0.596126 -0.104466
41.2 -0.383459 0.603208 -0.567287 -1.06518
41.3 -0.438516 0.56208 -0.532948 -0.401801
41.4 -0.489864 0.515628 -0.493081 -1.69532
41.5 -0.53695 0.46425 -0.447752 1.59977
41.6 -0.579238 0.408398 -0.39714 1.51169
41.7 -0.616213 0.348579 -0.341563 -0.504585
41.8 -0.6474 0.285348 -0.281492 -0.435337
41.9 -0.672382 0.219306 -0.217552 -2.10231
42 -0.690808 0.151091 -0.150516 -1.08541
42.1 -0.702412 0.0813719 -0.0812822 -1.07486
42.2 -0.707024 0.0108414 -0.0108412 0.307094
42.3 -0.704575 -0.0597973 0.0597617 -2.31582
42.4 -0.695101 -0.129839 0.129475 1.26513
42.5 -0.678743 -0.198588 0.197285 0.376777
42.6 -0.655739 -0.265366 0.262263 1.89566
42.7 -0.626412 -0.329525 0.323594 0.13191
42.8 -0.591164 -0.390451 0.380606 2.24669
42.9 -0.550453 -0.447576 0.432781 2.31567
43 -0.504781 -0.500376 0.479756 0.942895
43.1 -0.454682 -0.548384 0.521309 0.553702
