#t p q a dW Et
1.88 -0.0259253 1.57046 -1 -0 1
1.89 -0.0359253 1.57015 -1 0 1
1.9 -0.0459253 1.56974 -0.999999 -0 1
1.91 -0.0559253 1.56923 -0.999999 -0 1
1.92 -0.0659253 1.56862 -0.999998 0 1
1.93 -0.0759252 1.56791 -0.999996 0 1
1.94 -0.0859252 1.5671 -0.999993 -0 1
1.95 -0.0959251 1.5662 -0.999989 -0 1
1.96 -0.105925 1.56519 -0.999984 0 1
1.97 -0.115925 1.56408 -0.999977 -0 1
1.98 -0.125924 1.56287 -0.999969 0 1
1.99 -0.135924 1.56156 -0.999957 0 1
2 -0.145924 1.56015 -0.999943 -0 1
2.01 -0.155923 1.55864 -0.999926 -0 1
2.02 -0.165922 1.55703 -0.999905 0 1
2.03 -0.175921 1.55532 -0.99988 0 1
2.04 -0.18592 1.55351 -0.999851 0 1
2.05 -0.195918 1.5516 -0.999816 -0 1
2.06 -0.205916 1.54959 -0.999775 0 1
2.07 -0.215914 1.54749 -0.999728 0 1
2.08 -0.225911 1.54528 -0.999674 -0 1
2.09 -0.235907 1.54297 -0.999613 -0 1
2.1 -0.245903 1.54056 -0.999543 -0 1
2.11 -0.255898 1.53805 -0.999464 -0 1
2.12 -0.265892 1.53544 -0.999375 0 1
2.13 -0.275885 1.53273 -0.999276 0 1
2.14 -0.285878 1.52992 -0.999165 0 1
2.15 -0.295869 1.52701 -0.999042 0 1
2.16 -0.305858 1.524 -0.998905 -0 1
2.17 -0.315847 1.5209 -0.998755 -0 1
2.18 -0.325833 1.51769 -0.99859 0 1
2.19 -0.335818 1.51438 -0.998409 0 1
2.2 -0.345801 1.51097 -0.998211 -0 1
2.21 -0.355783 1.50746 -0.997995 0 1
2.22 -0.365761 1.50386 -0.99776 0 1
2.23 -0.375738 1.50015 -0.997505 0 1
2.24 -0.385711 1.49634 -0.997229 0 1
2.25 -0.395682 1.49243 -0.996931 0 1
2.26 -0.40565 1.48843 -0.99661 -0 1
2.27 -0.415614 1.48432 -0.996263 0 1
2.28 -0.425575 1.48012 -0.995891 -0 1
2.29 -0.435532 1.47581 -0.995492 -0 1
2.3 -0.445485 1.4714 -0.995065 -0 1
2.31 -0.455433 1.4669 -0.994608 -0 1
2.32 -0.465377 1.4623 -0.99412 0 1
2.33 -0.475316 1.45759 -0.993599 -0 1
2.34 -0.485249 1.45279 -0.993045 -0 1
2.35 -0.495176 1.44789 -0.992456 -0 1
2.36 -0.505098 1.44289 -0.991831 0 1
2.37 -0.515013 1.43779 -0.991167 -0 1
2.38 -0.524921 1.43259 -0.990464 -0 1
2.39 -0.534822 1.42729 -0.98972 -0 1
2.4 -0.544715 1.42189 -0.988934 0 1
2.41 -0.5546 1.41639 -0.988103 -0 1
2.42 -0.564477 1.4108 -0.987227 -0 1
2.43 -0.574345 1.4051 -0.986304 0 1
2.44 -0.584203 1.39931 -0.985332 -0 1
2.45 -0.594051 1.39342 -0.98431 0 1
2.46 -0.603889 1.38743 -0.983235 0 1
2.47 -0.613716 1.38134 -0.982107 0 1
2.48 -0.623531 1.37516 -0.980923 -0 1
2.49 -0.633334 1.36887 -0.979682 -0 1
2.5 -0.643125 1.36249 -0.978382 0 1
2.51 -0.652902 1.35601 -0.977022 -0 1
2.52 -0.662665 1.34943 -0.975599 -0 1
2.53 -0.672413 1.34276 -0.974111 -0 1
2.54 -0.682147 1.33598 -0.972558 0 1
2.55 -0.691864 1.32911 -0.970936 0 1
2.56 -0.701565 1.32215 -0.969245 -0 1
2.57 -0.711249 1.31508 -0.967483 -0 1
2.58 -0.720915 1.30792 -0.965647 0 1
2.59 -0.730562 1.30066 -0.963735 0 1
2.6 -0.740189 1.29331 -0.961747 -0 1
2.61 -0.749796 1.28586 -0.959679 0 1
2.62 -0.759382 1.27831 -0.957531 -0 1
2.63 -0.768947 1.27067 -0.9553 -0 1
2.64 -0.778488 1.26293 -0.952984 -0 1
2.65 -0.788006 1.2551 -0.950581 0 1
2.66 -0.797499 1.24717 -0.94809 -0 1
2.67 -0.806967 1.23915 -0.945508 0 1
2.68 -0.816409 1.23104 -0.942834 -0 1
2.69 -0.825824 1.22282 -0.940066 0 1
2.7 -0.83521 1.21452 -0.937202 -0 1
2.71 -0.844568 1.20612 -0.934239 0 1
2.72 -0.853895 1.19763 -0.931177 -0 1
2.73 -0.863191 1.18904 -0.928013 0 1
2.74 -0.872455 1.18036 -0.924745 0 1
2.75 -0.881685 1.17159 -0.921371 -0 1
2.76 -0.890882 1.16273 -0.91789 -0 1
2.77 -0.900043 1.15378 -0.9143 0 1
2.78 -0.909167 1.14473 -0.910598 -0 1
2.79 -0.918254 1.13559 -0.906784 -0 1
2.8 -0.927303 1.12636 -0.902855 -0 1
2.81 -0.936311 1.11705 -0.89881 -0 1
2.82 -0.945278 1.10764 -0.894646 -0 1
2.83 -0.954204 1.09814 -0.890363 0 1
2.84 -0.963085 1.08855 -0.885957 -0 1
2.85 -0.971922 1.07888 -0.881429 0 1
2.86 -0.980713 1.06912 -0.876776 -0 1
2.87 -0.989457 1.05927 -0.871996 -0 1
2.88 -0.998153 1.04933 -0.867088 0 1
2.89 -1.0068 1.0393 -0.862051 0 1
2.9 -1.01539 1.02919 -0.856882 0 1
2.91 -1.02394 1.01899 -0.851581 -0 1
2.92 -1.03242 1.00871 -0.846147 -0 1
2.93 -1.04086 0.998346 -0.840576 0 1
2.94 -1.04924 0.987896 -0.83487 -0 1
2.95 -1.05756 0.977362 -0.829025 -0 1
2.96 -1.06582 0.966745 -0.823041 -0 1
2.97 -1.07402 0.956046 -0.816917 0 1
2.98 -1.08215 0.945265 -0.810652 -0 1
2.99 -1.09023 0.934403 -0.804244 0 1
3 -1.09824 0.923461 -0.797693 -0 1
3.01 -1.10618 0.912438 -0.790998 0 1
3.02 -1.11406 0.901337 -0.784157 0 1
3.03 -1.12186 0.890158 -0.777171 0 1
3.04 -1.1296 0.8789 -0.770038 0 1
3.05 -1.13726 0.867566 -0.762757 0 1
3.06 -1.14486 0.856155 -0.755328 0 1
3.07 -1.15237 0.844669 -0.747751 -0 1
3.08 -1.15981 0.833108 -0.740025 0 1
3.09 -1.16717 0.821473 -0.73215 -0 1
3.1 -1.17445 0.809765 -0.724125 0 1
