#t p q a dW
2.18 -0.70138 -1.10966 0 0.0303719
2.19 -0.687259 -1.11652 0 0.0107687
2.2 -0.742764 -1.12372 0 -0.0320406
2.21 -0.87153 -1.1317 0 0.0193206
2.22 -0.888409 -1.14037 0 0.0283996
2.23 -0.752966 -1.14857 0 0.0438935
2.24 -0.795086 -1.15615 0 0.0142383
2.25 -0.821253 -1.16401 0 0.0146077
2.26 -0.796412 -1.17204 0 -0.0106635
2.27 -0.752775 -1.18022 0 0.0407887
2.28 -0.677002 -1.18724 0 -0.00776556
2.29 -0.651721 -1.19407 0 -0.00891582
2.3 -0.610404 -1.20087 0 -0.00958813
2.31 -0.725288 -1.20733 0 -0.0483524
2.32 -0.72861 -1.21484 0 0.00628258
2.33 -0.663819 -1.22186 0 -0.00371586
2.34 -0.750667 -1.22879 0 -0.0105119
2.35 -0.693894 -1.23618 0 -0.0306732
2.36 -0.712209 -1.24316 0 0.0127732
2.37 -0.870907 -1.25088 0 -0.0248324
2.38 -0.831455 -1.25977 0 -0.0103451
2.39 -0.916231 -1.26854 0 -0.0650985
2.4 -1.02764 -1.27853 0 0.0212883
2.41 -1.1118 -1.2889 0 -0.0653743
2.42 -1.21277 -1.30063 0 -0.012711
2.43 -1.19348 -1.31308 0 0.018858
2.44 -1.13726 -1.32415 0 -0.0128032
2.45 -1.16665 -1.33565 0 0.0571959
2.46 -1.18016 -1.34689 0 0.00866964
2.47 -1.12208 -1.35872 0 0.0577875
2.48 -1.02712 -1.36924 0 -0.0945919
2.49 -1.08057 -1.38025 0 -0.0133635
2.5 -1.18901 -1.39167 0 0.00587619
2.51 -1.09456 -1.40303 0 -0.00125405
2.52 -1.09492 -1.41378 0 -0.0294663
2.53 -1.19198 -1.42489 0 -0.0145915
2.54 -1.23183 -1.43669 0 0.00315785
2.55 -1.15666 -1.44859 0 0.0351432
2.56 -1.05741 -1.45934 0 -0.0286318
2.57 -1.22493 -1.47078 0 -0.0229779
2.58 -1.10537 -1.48277 0 0.0147575
2.59 -1.02482 -1.49311 0 0.00187479
2.6 -1.05042 -1.50319 0 -0.00681621
2.61 -1.02973 -1.51385 0 0.0422848
2.62 -1.07626 -1.52412 0 -0.0719236
2.63 -1.15106 -1.53544 0 -0.0298332
2.64 -1.17852 -1.54734 0 -0.0166851
2.65 -1.18008 -1.55935 0 0.0688328
2.66 -1.02156 -1.57022 0 -0.00395467
2.67 -0.973543 -1.58056 0 0.0348534
2.68 -0.866879 -1.58974 0 -0.00796177
2.69 -0.700772 -1.5978 0 0.0226019
2.7 -0.734682 -1.60441 0 -0.0765555
2.71 -0.751833 -1.61198 0 0.0309223
2.72 -0.757933 -1.61913 0 -0.064306
2.73 -0.78088 -1.62764 0 0.012824
2.74 -0.72759 -1.63524 0 0.0152105
2.75 -0.820711 -1.64271 0 -0.0165283
2.76 -0.847176 -1.65099 0 -0.0175715
2.77 -0.916855 -1.65936 0 0.00503694
2.78 -0.898855 -1.66802 0 -0.00929507
2.79 -0.871928 -1.67717 0 -0.0229428
2.8 -0.862596 -1.68586 0 -0.0458979
2.81 -1.06964 -1.69537 0 -0.00615827
2.82 -1.1235 -1.70634 0 -0.0310218
2.83 -1.18703 -1.71821 0 0.0710107
2.84 -1.13518 -1.72946 0 -0.0125896
2.85 -1.23965 -1.74153 0 0.0472309
2.86 -1.25693 -1.7538 0 -0.0365488
2.87 -1.40652 -1.76695 0 -0.0425319
2.88 -1.52155 -1.78203 0 0.0138899
2.89 -1.53413 -1.79744 0 0.0338512
2.9 -1.55184 -1.81234 0 0.0280106
2.91 -1.20658 -1.82629 0 -0.037371
2.92 -1.22472 -1.83848 0 -0.0711983
2.93 -1.27759 -1.85143 0 0.0168024
2.94 -1.25996 -1.864 0 -0.0609679
2.95 -1.34351 -1.87703 0 -0.0515115
2.96 -1.42666 -1.89122 0 -0.00528901
2.97 -1.34411 -1.90525 0 0.0420813
2.98 -1.31395 -1.91823 0 -0.0637241
2.99 -1.39211 -1.93195 0 0.0394757
3 -1.30332 -1.9456 0 -0.0131353
3.01 -1.20821 -1.95806 0 0.0222607
3.02 -1.2106 -1.97021 0 0.00980634
3.03 -0.949092 -1.98196 0 0.00748062
3.04 -0.808072 -1.99077 0 0.0306597
3.05 -0.771706 -1.99855 0 0.0547542
3.06 -0.780391 -2.00609 0 0.0571457
3.07 -0.677435 -2.0134 0 -0.0310794
3.08 -0.723695 -2.02023 0 0.0219711
3.09 -0.740544 -2.02711 0 -0.0276821
3.1 -0.728598 -2.03449 0 0.00866373
3.11 -0.75653 -2.04153 0 0.0220855
3.12 -0.725332 -2.04901 0 -0.000938986
3.13 -0.967635 -2.05737 0 -0.0055755
3.14 -0.953115 -2.06664 0 -0.0383145
3.15 -0.830203 -2.07568 0 0.00652948
3.16 -0.854239 -2.08381 0 0.0159545
3.17 -0.92826 -2.09262 0 -0.034574
3.18 -1.07004 -2.10264 0 0.0561133
3.19 -1.0164 -2.11297 0 0.0153574
3.2 -1.07995 -2.12325 0 0.00100746
3.21 -1.13828 -2.1343 0 0.00465879
3.22 -1.05148 -2.14547 0 -0.011346
3.23 -1.14697 -2.15665 0 -0.0379064
3.24 -1.14825 -2.16836 0 -0.0295509
3.25 -1.01026 -2.17932 0 -0.0189756
3.26 -1.175 -2.19015 0 0.0111811
3.27 -1.24652 -2.20233 0 0.0242862
3.28 -1.30885 -2.21485 0 0.0158388
3.29 -1.34505 -2.22761 0 0.0436425
3.3 -1.117 -2.23982 0 -0.0137431
3.31 -1.1314 -2.25079 0 0.008677
3.32 -1.00266 -2.26165 0 0.0123686
3.33 -1.07587 -2.27201 0 0.0720994
3.34 -1.06432 -2.28222 0 0.0223574
3.35 -1.0431 -2.29202 0 0.0128568
3.36 -0.982848 -2.30206 0 -0.0114282
3.37 -0.757531 -2.31101 0 0.00425478
3.38 -0.817134 -2.31867 0 0.0295871
3.39 -0.854338 -2.32652 0 -0.000171103
3.4 -0.844073 -2.33508 0 0.0205644
3.41 -0.765723 -2.34302 0 0.0526584
3.42 -0.682916 -2.35044 0 -0.0899059
3.43 -0.840666 -2.35845 0 -0.021741
3.44 -0.838983 -2.36651 0 -0.034185
3.45 -0.937112 -2.37545 0 0.0571671
3.46 -0.853848 -2.38403 0 -0.0352037
3.47 -0.9749 -2.39358 0 0.00678611
3.48 -0.939016 -2.40331 0 -0.0609215
3.49 -1.02733 -2.4134 0 0.0250556
3.5 -1.06719 -2.424 0 -0.0141733
3.51 -0.975164 -2.43451 0 -0.00368709
3.52 -0.854175 -2.44377 0 -0.0168563
3.53 -0.814878 -2.45267 0 0.0177915
3.54 -0.826901 -2.46086 0 -0.021727
3.55 -0.715117 -2.46847 0 -0.0315804
3.56 -0.741763 -2.47583 0 0.038774
3.57 -0.781108 -2.48345 0 -0.0135645
3.58 -0.829987 -2.49163 0 0.0417525
