#t U_0 U_1 U_2 U_3 U_4 U_5 U_6 U_7 U_8 U_9 U_10 U_11 U_12 U_13 U_14 U_15 U_16 U_17 U_18 U_19 U_20 U_21 U_22 U_23 U_24 U_25 U_26 U_27 U_28 U_29 U_30 U_31 U_32 U_33 U_34 U_35 U_36 U_37 U_38 U_39 U_40 U_41 U_42 U_43 U_44 U_45 U_46 U_47 U_48 U_49 U_50 U_51 U_52 U_53 U_54 U_55 U_56 U_57 U_58 U_59 U_60 U_61 U_62 U_63 U_64 U_65 U_66 U_67 U_68 U_69 U_70 U_71 U_72 U_73 U_74 U_75 U_76 U_77 U_78 U_79 U_80 U_81 U_82 U_83 U_84 U_85 U_86 U_87 U_88 U_89 U_90 U_91 U_92 U_93 U_94 U_95 U_96 U_97 U_98 U_99 U_100 U_101 U_102 U_103 U_104 U_105 U_106 U_107 U_108 U_109 U_110 U_111 U_112 U_113 U_114 U_115 U_116 U_117 U_118 U_119 U_120 U_121 U_122 U_123 U_124 U_125 U_126 U_127
2304 0.399374 0.399926 0.399824 0.39978 0.399852 0.399394 0.400012 0.398502 0.398837 0.400158 0.399416 0.399114 0.399824 0.39952 0.399314 0.399311 0.400223 0.400685 0.39988 0.399952 0.399502 0.399029 0.399823 0.399312 0.3998 0.399631 0.400711 0.399287 0.400171 0.400414 0.399551 0.399872 0.400375 0.400633 0.399675 0.400965 0.400336 0.401047 0.400492 0.399714 0.400885 0.400827 0.399466 0.399573 0.399677 0.39996 0.400424 0.400879 0.40046 0.399897 0.399688 0.399574 0.400139 0.400261 0.400424 0.400465 0.399938 0.400369 0.40024 0.400852 0.400016 0.400571 0.399601 0.401413 0.400356 0.400292 0.3995 0.400749 0.400152 0.400309 0.400925 0.401068 0.400301 0.399727 0.399176 0.399691 0.400387 0.400246 0.400492 0.399782 0.399985 0.400478 0.399858 0.399357 0.400238 0.400728 0.399785 0.400412 0.400558 0.400617 0.400265 0.400068 0.400797 0.399513 0.399113 0.400245 0.400619 0.400683 0.400171 0.400332 0.39984 0.400397 0.399594 0.399073 0.400187 0.400213 0.400309 0.400141 0.399611 0.399732 0.400517 0.40001 0.399972 0.399356 0.399019 0.399665 0.399445 0.399788 0.399912 0.400955 0.40025 0.399208 0.399248 0.398687 0.3996 0.399811 0.400445 0.400203
2308 0.399629 0.399434 0.4002 0.399226 0.399433 0.399383 0.398901 0.398932 0.399921 0.399454 0.398983 0.399583 0.400381 0.39981 0.399503 0.400269 0.399519 0.39943 0.399476 0.400418 0.399979 0.399629 0.399288 0.39913 0.400102 0.399707 0.399198 0.40018 0.400738 0.400051 0.399891 0.400194 0.400125 0.399993 0.400372 0.400461 0.400811 0.400899 0.400428 0.401508 0.399886 0.399376 0.400173 0.39989 0.400098 0.39984 0.399736 0.399785 0.400772 0.400242 0.40051 0.400119 0.399379 0.399711 0.400395 0.399614 0.400773 0.400843 0.400572 0.399905 0.40061 0.400393 0.401006 0.400963 0.400518 0.400002 0.400354 0.400887 0.399696 0.399605 0.399638 0.399858 0.400266 0.400611 0.400656 0.400318 0.399593 0.399877 0.400191 0.399415 0.400176 0.400125 0.400259 0.400352 0.400012 0.399842 0.399985 0.400166 0.400654 0.400381 0.40039 0.400206 0.400235 0.400346 0.400405 0.399871 0.400049 0.400365 0.399805 0.400718 0.400238 0.400023 0.39969 0.400001 0.399354 0.399913 0.399984 0.400515 0.399577 0.400043 0.400622 0.400173 0.399644 0.399491 0.3997 0.399327 0.399751 0.400468 0.399377 0.399479 0.399766 0.400047 0.399838 0.400064 0.400174 0.399979 0.399398 0.399378
2312 0.398498 0.399664 0.399588 0.399611 0.398684 0.399226 0.398827 0.399712 0.399759 0.399937 0.39952 0.399389 0.399819 0.399483 0.399877 0.39962 0.399856 0.399973 0.400077 0.399855 0.399256 0.399391 0.399366 0.399814 0.400154 0.399884 0.399592 0.400195 0.399696 0.400122 0.399866 0.399561 0.401108 0.399791 0.40043 0.401172 0.401208 0.401185 0.399606 0.399625 0.399778 0.400894 0.400286 0.399979 0.400373 0.39993 0.399456 0.400273 0.399685 0.400148 0.400922 0.399566 0.399936 0.39995 0.400351 0.400038 0.400056 0.400189 0.3999 0.401284 0.401311 0.401195 0.400283 0.400193 0.400383 0.400706 0.400384 0.399798 0.399542 0.399883 0.399922 0.400466 0.400241 0.399761 0.400363 0.399916 0.400503 0.399841 0.399383 0.400395 0.399673 0.399938 0.40003 0.400559 0.399215 0.400124 0.40045 0.401041 0.399878 0.399663 0.400332 0.401138 0.400516 0.400552 0.400167 0.39993 0.400498 0.400079 0.399894 0.399864 0.399417 0.400509 0.399876 0.400467 0.400987 0.399941 0.399184 0.399543 0.399377 0.400211 0.40031 0.399293 0.400858 0.399996 0.400362 0.398791 0.399809 0.399311 0.400326 0.401041 0.399042 0.399539 0.400457 0.399622 0.399585 0.400459 0.399978 0.399703
2316 0.400216 0.399348 0.399577 0.39899 0.400009 0.39816 0.400305 0.399991 0.39989 0.399456 0.398431 0.399773 0.39954 0.399387 0.400044 0.400459 0.399447 0.399672 0.399595 0.399616 0.399959 0.399982 0.398755 0.400306 0.399931 0.39992 0.400009 0.39986 0.39919 0.40003 0.399935 0.400796 0.400489 0.400318 0.400602 0.399728 0.401038 0.400287 0.400555 0.400311 0.400448 0.399709 0.400098 0.399795 0.400956 0.40028 0.399417 0.399739 0.400202 0.400426 0.399931 0.400121 0.40006 0.399774 0.400286 0.400273 0.399968 0.400599 0.401729 0.399546 0.399948 0.400652 0.40134 0.40091 0.399998 0.399729 0.399812 0.40025 0.400564 0.400417 0.399811 0.400499 0.401019 0.399209 0.399284 0.399591 0.400391 0.399791 0.399241 0.40024 0.400294 0.399701 0.399524 0.400689 0.399932 0.400318 0.399871 0.399979 0.400483 0.400305 0.401749 0.399649 0.39995 0.400358 0.40077 0.400455 0.400731 0.399399 0.399661 0.400477 0.400379 0.399849 0.399631 0.400162 0.401333 0.399284 0.399843 0.40025 0.399433 0.399499 0.39971 0.400515 0.399603 0.399161 0.399858 0.399615 0.401097 0.400889 0.39996 0.399966 0.400192 0.400122 0.398886 0.399333 0.399532 0.39951 0.399467 0.399665
2320 0.399358 0.400301 0.399532 0.400392 0.400221 0.399419 0.399256 0.399726 0.399698 0.399656 0.399816 0.399004 0.398914 0.40003 0.399248 0.399668 0.399802 0.399941 0.399796 0.399809 0.399205 0.399714 0.399961 0.400157 0.400007 0.399264 0.400247 0.400001 0.399686 0.400254 0.400415 0.400134 0.399747 0.400202 0.400451 0.399809 0.40064 0.400489 0.400783 0.400252 0.400041 0.400589 0.3998 0.400417 0.399526 0.399757 0.400323 0.400428 0.400337 0.40013 0.39999 0.400037 0.400165 0.399938 0.400387 0.400754 0.400642 0.40024 0.400318 0.399791 0.400161 0.400495 0.399895 0.399883 0.400224 0.401512 0.400534 0.400638 0.399611 0.40039 0.399962 0.400185 0.399949 0.400517 0.399315 0.399677 0.399774 0.399634 0.399709 0.399898 0.399062 0.400235 0.400907 0.400119 0.399637 0.400544 0.399871 0.400131 0.40054 0.400873 0.399971 0.399552 0.400445 0.400368 0.400707 0.400071 0.400645 0.400648 0.401254 0.39936 0.399581 0.400452 0.399832 0.399963 0.399711 0.400441 0.399568 0.400185 0.400118 0.399719 0.398891 0.399605 0.39979 0.40035 0.399945 0.400105 0.400978 0.400239 0.400527 0.400711 0.399116 0.399311 0.399661 0.39916 0.400051 0.399096 0.39906 0.399313
2324 0.399718 0.399302 0.399775 0.400222 0.399174 0.399844 0.400141 0.400453 0.400073 0.399302 0.399829 0.398847 0.399797 0.399862 0.399717 0.398981 0.398947 0.399553 0.399733 0.399652 0.400201 0.399927 0.399701 0.399395 0.399581 0.40048 0.399925 0.400536 0.400019 0.400477 0.399359 0.400446 0.400065 0.400004 0.400153 0.399808 0.400451 0.400341 0.399945 0.400802 0.40024 0.400463 0.399938 0.399999 0.400187 0.398956 0.400937 0.400162 0.400912 0.400361 0.399863 0.40022 0.399876 0.40021 0.400174 0.400732 0.400699 0.400097 0.399618 0.400292 0.399787 0.399527 0.40095 0.400456 0.400533 0.400502 0.400422 0.399705 0.400127 0.40072 0.400292 0.39993 0.399564 0.399498 0.400046 0.399288 0.400115 0.400862 0.39975 0.399362 0.399923 0.399897 0.400395 0.399122 0.400241 0.400529 0.400799 0.400571 0.399918 0.400143 0.399943 0.399395 0.400094 0.400472 0.400477 0.401279 0.400301 0.400591 0.400544 0.399737 0.400328 0.400346 0.399942 0.400181 0.39986 0.3993 0.399053 0.399799 0.399399 0.400342 0.400594 0.399744 0.400137 0.399835 0.400596 0.400195 0.400269 0.400181 0.400263 0.399695 0.399145 0.399506 0.39928 0.399245 0.400269 0.400186 0.399443 0.399586
2328 0.399531 0.39946 0.399865 0.400079 0.399405 0.398792 0.400093 0.400608 0.399931 0.400186 0.400166 0.399617 0.399774 0.399797 0.399183 0.399363 0.399225 0.399661 0.398944 0.399295 0.4 0.400263 0.399459 0.399436 0.400562 0.399495 0.399839 0.400281 0.400634 0.400183 0.400098 0.400507 0.40009 0.400755 0.399229 0.40025 0.40021 0.400294 0.399101 0.400347 0.400019 0.400582 0.40055 0.400343 0.399623 0.399523 0.400535 0.400333 0.400167 0.400977 0.400858 0.399509 0.400172 0.399625 0.399218 0.400384 0.400482 0.400797 0.399861 0.400864 0.400418 0.400247 0.400376 0.400212 0.399087 0.399829 0.400976 0.400944 0.400313 0.399171 0.399357 0.399732 0.399823 0.400081 0.4003 0.400206 0.400127 0.399902 0.399675 0.400281 0.400393 0.399801 0.400592 0.398963 0.399909 0.400545 0.400078 0.400303 0.39996 0.400569 0.400079 0.399794 0.401348 0.399726 0.399403 0.400095 0.40088 0.399741 0.400591 0.401112 0.400413 0.40033 0.399884 0.399277 0.399246 0.399699 0.399703 0.400239 0.399974 0.399909 0.400265 0.400146 0.400252 0.399883 0.400164 0.400897 0.400171 0.398987 0.399223 0.399843 0.399864 0.399656 0.40002 0.399194 0.400033 0.40018 0.400431 0.399752
2332 0.399997 0.400693 0.399866 0.399315 0.399745 0.399371 0.399887 0.400192 0.40016 0.399678 0.400498 0.399633 0.399284 0.399887 0.400141 0.399902 0.399031 0.39951 0.399898 0.400073 0.399523 0.398724 0.399706 0.399569 0.399491 0.400205 0.400519 0.400091 0.399902 0.400064 0.400536 0.400432 0.400717 0.400055 0.40055 0.399961 0.399531 0.399684 0.399812 0.400887 0.400037 0.399804 0.400152 0.399781 0.400063 0.400707 0.400278 0.399945 0.400606 0.399999 0.400012 0.399598 0.399986 0.399497 0.400382 0.400085 0.400157 0.40073 0.400272 0.400718 0.401283 0.400062 0.400156 0.399945 0.400165 0.399431 0.400345 0.399924 0.399425 0.399838 0.400174 0.399308 0.399478 0.399909 0.400162 0.400439 0.40115 0.399956 0.400335 0.399934 0.399335 0.399523 0.40065 0.399812 0.401012 0.399864 0.399778 0.400227 0.399892 0.400604 0.400057 0.40012 0.400459 0.40019 0.399654 0.39982 0.399471 0.400797 0.400571 0.39998 0.399878 0.400426 0.399578 0.399983 0.400015 0.399961 0.400007 0.400852 0.399659 0.400717 0.400068 0.399714 0.399651 0.399751 0.400012 0.39981 0.39941 0.399364 0.400388 0.400068 0.400532 0.400031 0.400164 0.399359 0.400081 0.400035 0.399089 0.399633
2336 0.400138 0.399682 0.399122 0.399493 0.400503 0.400964 0.399587 0.399979 0.399446 0.400032 0.39985 0.398755 0.400215 0.399662 0.39968 0.400545 0.400783 0.399791 0.399452 0.398631 0.400465 0.399928 0.400046 0.399062 0.399712 0.400027 0.399298 0.40013 0.399882 0.400629 0.400557 0.399559 0.400279 0.399726 0.401212 0.399717 0.400018 0.400571 0.400392 0.400671 0.399572 0.399449 0.400305 0.400463 0.399859 0.399685 0.400425 0.399692 0.399787 0.399952 0.399328 0.399738 0.400054 0.400375 0.400582 0.400106 0.400742 0.400497 0.400118 0.40033 0.400685 0.400465 0.400641 0.399558 0.399868 0.40005 0.399688 0.400055 0.399585 0.399531 0.399608 0.398956 0.40016 0.400817 0.400473 0.399912 0.39965 0.400114 0.400951 0.400403 0.399479 0.399839 0.399907 0.400333 0.39995 0.400737 0.400242 0.40056 0.399823 0.400564 0.39951 0.399745 0.399621 0.399716 0.40105 0.400156 0.399109 0.399853 0.400278 0.399757 0.399929 0.400482 0.399467 0.400177 0.40047 0.39963 0.401505 0.400554 0.400185 0.400232 0.399807 0.399232 0.39923 0.399341 0.399531 0.39964 0.40029 0.399912 0.401041 0.400516 0.400761 0.399677 0.400106 0.399255 0.399305 0.400226 0.400409 0.399443
2340 0.39993 0.399847 0.400323 0.400098 0.398938 0.399759 0.400208 0.400428 0.400097 0.39968 0.399103 0.400382 0.399678 0.399571 0.400257 0.400238 0.399747 0.398912 0.400362 0.400612 0.39988 0.400684 0.400144 0.399871 0.399753 0.399462 0.39985 0.399554 0.399692 0.399289 0.399869 0.399659 0.400408 0.400662 0.400115 0.400636 0.400425 0.400644 0.400278 0.400182 0.400174 0.400889 0.399842 0.39975 0.399221 0.399851 0.399221 0.399552 0.400221 0.399503 0.399667 0.400174 0.400056 0.400139 0.4004 0.400754 0.400194 0.400678 0.400588 0.400583 0.399737 0.399684 0.399984 0.399994 0.400549 0.400382 0.399002 0.40027 0.399575 0.400137 0.39939 0.400369 0.400131 0.399063 0.399785 0.399962 0.401119 0.39965 0.400353 0.39979 0.400102 0.400439 0.400682 0.400558 0.399478 0.399848 0.400511 0.400245 0.399751 0.400228 0.399831 0.399953 0.400318 0.399083 0.399601 0.399928 0.39934 0.400133 0.400744 0.400258 0.40055 0.400694 0.39856 0.399289 0.400793 0.40048 0.40055 0.400529 0.40029 0.399904 0.399309 0.398882 0.400155 0.399854 0.399526 0.400326 0.400399 0.400568 0.400146 0.400022 0.400407 0.400343 0.399871 0.399608 0.399912 0.400341 0.399388 0.399669
2344 0.400289 0.400241 0.400054 0.399288 0.399304 0.399725 0.399769 0.39934 0.400523 0.400145 0.400455 0.399852 0.400029 0.400111 0.399291 0.399983 0.39957 0.399699 0.400839 0.400518 0.400166 0.400456 0.400256 0.400353 0.399605 0.400427 0.399481 0.398777 0.399616 0.399366 0.399693 0.400149 0.399692 0.400217 0.401395 0.4004 0.400209 0.399982 0.400385 0.400129 0.400381 0.401071 0.399351 0.398749 0.400281 0.40034 0.399434 0.399569 0.399891 0.399647 0.399919 0.399643 0.39974 0.400457 0.400735 0.400375 0.400677 0.398913 0.400715 0.399748 0.400598 0.399851 0.400592 0.399632 0.400048 0.400105 0.399987 0.400121 0.399551 0.399364 0.400546 0.40037 0.399673 0.399604 0.399435 0.400388 0.400057 0.400727 0.399614 0.400631 0.400275 0.400314 0.400015 0.400111 0.399798 0.400068 0.399828 0.399715 0.399881 0.400924 0.398957 0.399152 0.400218 0.400175 0.399946 0.400008 0.399598 0.399824 0.400708 0.399718 0.40104 0.400886 0.399606 0.400293 0.399734 0.399145 0.39947 0.399649 0.399787 0.400169 0.400737 0.400176 0.400407 0.400366 0.399796 0.399361 0.400072 0.400148 0.400504 0.400823 0.399365 0.400196 0.400357 0.400045 0.399819 0.399616 0.399784 0.400112
2348 0.399709 0.39899 0.400392 0.3996 0.399115 0.400805 0.399623 0.39975 0.399778 0.400239 0.399926 0.399422 0.400211 0.400646 0.400009 0.400581 0.399584 0.400053 0.400628 0.400982 0.400059 0.399378 0.399427 0.400877 0.400468 0.39967 0.398941 0.399994 0.399795 0.400355 0.399171 0.400269 0.400819 0.399924 0.400294 0.399917 0.399535 0.400318 0.400301 0.399946 0.39932 0.400156 0.400774 0.39964 0.40003 0.400468 0.399783 0.400819 0.399507 0.399321 0.399474 0.399721 0.401183 0.400078 0.399119 0.399413 0.399636 0.400538 0.400774 0.399323 0.400389 0.400129 0.400084 0.400463 0.399704 0.400087 0.400718 0.39953 0.399238 0.399424 0.39987 0.400014 0.400902 0.39975 0.400574 0.40045 0.399496 0.399856 0.401199 0.400179 0.39994 0.399884 0.399758 0.399912 0.399928 0.399097 0.399617 0.399691 0.399674 0.400845 0.399712 0.39961 0.399562 0.399739 0.40079 0.40012 0.400008 0.400422 0.400582 0.399927 0.40047 0.40043 0.399225 0.399543 0.399315 0.399393 0.400105 0.400538 0.40039 0.399933 0.399293 0.40082 0.400821 0.399833 0.400146 0.400286 0.400076 0.39896 0.399611 0.400587 0.40088 0.400106 0.400527 0.399875 0.400183 0.400005 0.399804 0.400401
2352 0.399875 0.399206 0.400152 0.399961 0.399824 0.399692 0.400112 0.399602 0.399444 0.400265 0.400178 0.400139 0.400076 0.400007 0.40105 0.400104 0.400572 0.400515 0.400856 0.398998 0.400571 0.399292 0.400433 0.399623 0.40024 0.399823 0.399816 0.399451 0.40014 0.399966 0.401601 0.400314 0.400194 0.399525 0.399618 0.400163 0.399419 0.399993 0.399295 0.399867 0.399859 0.40021 0.400362 0.40001 0.400499 0.400443 0.399913 0.399923 0.399848 0.400674 0.400868 0.399073 0.399539 0.399148 0.399705 0.400085 0.40003 0.399106 0.400272 0.39972 0.400297 0.39979 0.400933 0.400595 0.399599 0.39975 0.399256 0.399175 0.399455 0.400853 0.400879 0.399485 0.40048 0.399996 0.400137 0.400342 0.400553 0.400654 0.400128 0.400185 0.399834 0.399516 0.399693 0.399576 0.398796 0.3992 0.400185 0.400214 0.399315 0.400001 0.398718 0.401224 0.400229 0.399981 0.400233 0.400823 0.400575 0.399994 0.399239 0.399949 0.401107 0.400013 0.398024 0.400287 0.398912 0.400196 0.401022 0.400878 0.400443 0.399796 0.39987 0.39935 0.40067 0.400568 0.399857 0.399449 0.399651 0.399817 0.399792 0.400506 0.400733 0.400402 0.400638 0.400113 0.40061 0.400164 0.399353 0.399686
2356 0.400447 0.400146 0.3998 0.399352 0.399625 0.39929 0.399334 0.399933 0.399727 0.401101 0.400172 0.400036 0.400804 0.400345 0.400363 0.40066 0.400408 0.399469 0.40014 0.400212 0.400396 0.400161 0.399931 0.399775 0.400775 0.399735 0.399364 0.400038 0.400571 0.399969 0.400024 0.399908 0.400431 0.400209 0.40029 0.399844 0.399724 0.399315 0.39991 0.399417 0.401104 0.39973 0.399554 0.400191 0.400119 0.399997 0.400519 0.400121 0.399584 0.399727 0.400056 0.400367 0.400402 0.400563 0.399927 0.398879 0.39948 0.399221 0.399637 0.399861 0.40039 0.399716 0.399486 0.400314 0.399649 0.399379 0.399706 0.400567 0.39993 0.400081 0.400192 0.400471 0.400032 0.400212 0.400584 0.399746 0.400538 0.400163 0.400048 0.400157 0.399889 0.399458 0.398955 0.399795 0.400169 0.399863 0.399147 0.399106 0.399739 0.400067 0.399787 0.400951 0.399653 0.399778 0.4004 0.400736 0.40027 0.399584 0.400695 0.399113 0.399795 0.399971 0.400066 0.400005 0.400482 0.399696 0.400654 0.399674 0.400387 0.400461 0.400558 0.399509 0.399315 0.400531 0.399914 0.39942 0.400184 0.400245 0.39952 0.400095 0.400523 0.400952 0.40063 0.400373 0.398948 0.400036 0.40033 0.400018
2360 0.399987 0.40063 0.399814 0.400033 0.399169 0.399605 0.39993 0.399697 0.399208 0.400715 0.400733 0.400789 0.400568 0.400262 0.400194 0.400217 0.400116 0.400038 0.400061 0.400024 0.400445 0.400328 0.400176 0.400867 0.400243 0.399713 0.400122 0.399198 0.400176 0.399206 0.400126 0.399539 0.400082 0.400992 0.399766 0.401024 0.400645 0.399879 0.399707 0.399654 0.40026 0.399447 0.400056 0.400109 0.399819 0.399462 0.400336 0.399018 0.399775 0.399937 0.400516 0.401184 0.400425 0.399814 0.400018 0.400016 0.399691 0.399354 0.400095 0.398625 0.399011 0.399181 0.399663 0.400154 0.40016 0.40005 0.399436 0.39997 0.400682 0.400185 0.40054 0.399945 0.399859 0.400024 0.400304 0.399693 0.400275 0.399637 0.39935 0.399884 0.400505 0.399816 0.400133 0.39963 0.400078 0.399625 0.399872 0.399537 0.399895 0.399934 0.399874 0.399751 0.399481 0.400299 0.399866 0.399178 0.40028 0.400384 0.400842 0.400029 0.400862 0.399852 0.400023 0.399409 0.399844 0.400756 0.400424 0.400576 0.399586 0.400419 0.399136 0.399592 0.399835 0.400657 0.400015 0.400408 0.400682 0.399877 0.399992 0.399569 0.39994 0.399416 0.400106 0.400408 0.400599 0.400137 0.400166 0.400065
2364 0.401294 0.399745 0.399037 0.401007 0.400405 0.399312 0.40006 0.400361 0.400039 0.399368 0.400686 0.40059 0.400321 0.399778 0.400309 0.399985 0.400588 0.399895 0.400337 0.400377 0.401074 0.399667 0.400638 0.400824 0.399663 0.399471 0.399891 0.399357 0.399465 0.39972 0.400265 0.400191 0.400284 0.400523 0.399936 0.400643 0.400708 0.400452 0.399899 0.399959 0.40035 0.40007 0.398992 0.399855 0.399335 0.399568 0.400371 0.399231 0.400411 0.400111 0.399951 0.400377 0.40032 0.399621 0.400483 0.39971 0.399805 0.39972 0.399754 0.399272 0.39919 0.399686 0.399956 0.399263 0.399818 0.399951 0.399979 0.399754 0.399993 0.400131 0.400245 0.400112 0.400044 0.399811 0.399213 0.399488 0.399417 0.399332 0.400194 0.401235 0.399914 0.400267 0.400062 0.400242 0.399608 0.400039 0.400336 0.399628 0.400117 0.399662 0.399665 0.399391 0.399534 0.399243 0.39945 0.400994 0.399778 0.400044 0.399787 0.401099 0.400837 0.40074 0.399895 0.400143 0.400018 0.400045 0.399566 0.399948 0.40018 0.39937 0.400643 0.400279 0.399961 0.399861 0.400418 0.399814 0.400707 0.399542 0.400312 0.400456 0.399508 0.399365 0.399581 0.399482 0.40029 0.400484 0.39994 0.400513
2368 0.40043 0.400597 0.400331 0.400974 0.400531 0.399719 0.39992 0.399724 0.400381 0.400569 0.400019 0.400615 0.399662 0.400208 0.399842 0.399908 0.399957 0.400893 0.400561 0.400578 0.400556 0.400461 0.400012 0.399711 0.399171 0.399524 0.400451 0.40039 0.399375 0.400287 0.400125 0.399279 0.401038 0.400829 0.400472 0.400057 0.399956 0.399895 0.400097 0.400315 0.400619 0.399357 0.399895 0.399839 0.399409 0.399574 0.400326 0.400312 0.400422 0.399862 0.399678 0.399815 0.399783 0.399408 0.399779 0.399888 0.399835 0.399303 0.399527 0.401045 0.40007 0.39948 0.399518 0.399606 0.400391 0.400182 0.399181 0.399742 0.399592 0.398768 0.399426 0.400187 0.399632 0.399551 0.399722 0.399604 0.399126 0.400263 0.399867 0.400025 0.401037 0.401222 0.400307 0.399681 0.399479 0.400166 0.400285 0.400037 0.399191 0.399877 0.400036 0.40007 0.400302 0.399121 0.399888 0.399506 0.399477 0.399895 0.400767 0.401244 0.400459 0.400223 0.400104 0.399992 0.400251 0.399916 0.399403 0.399784 0.400811 0.399437 0.400029 0.400237 0.400433 0.400271 0.400065 0.399763 0.400195 0.399314 0.400128 0.400358 0.399719 0.400405 0.399726 0.399687 0.399646 0.399769 0.400045 0.400212
2372 0.399871 0.400872 0.400205 0.400771 0.400539 0.400253 0.399532 0.40052 0.399688 0.40044 0.400408 0.400794 0.40039 0.3997 0.400376 0.400057 0.400017 0.400266 0.400037 0.400001 0.400576 0.400313 0.399751 0.399985 0.399838 0.399591 0.400651 0.399932 0.400226 0.399913 0.400147 0.400957 0.400025 0.399714 0.400066 0.400091 0.400905 0.400225 0.39992 0.399387 0.399579 0.400562 0.400102 0.400087 0.40004 0.399817 0.400571 0.400291 0.399466 0.400424 0.399731 0.399368 0.399311 0.400052 0.399008 0.399701 0.399444 0.400371 0.39975 0.399837 0.399309 0.399955 0.401129 0.400511 0.40096 0.399026 0.398757 0.399633 0.399318 0.398531 0.39866 0.399656 0.399333 0.399756 0.39943 0.399606 0.400231 0.400158 0.400155 0.400716 0.399837 0.400429 0.400275 0.400322 0.39955 0.399954 0.400024 0.39999 0.400544 0.40058 0.400384 0.399024 0.399301 0.400404 0.399371 0.400274 0.400411 0.400889 0.399722 0.399575 0.399951 0.400459 0.399671 0.400866 0.400466 0.399181 0.400197 0.399863 0.400462 0.399651 0.399702 0.400128 0.39962 0.400701 0.40017 0.399637 0.399716 0.40045 0.400504 0.400049 0.399079 0.399939 0.399737 0.400335 0.399756 0.401204 0.399988 0.399364
2376 0.400668 0.400427 0.399711 0.399171 0.400444 0.399921 0.400545 0.400599 0.400116 0.40049 0.400254 0.40022 0.400037 0.400486 0.401542 0.400006 0.399466 0.399542 0.399882 0.3993 0.400281 0.4009 0.399927 0.400317 0.400438 0.399759 0.400193 0.399684 0.400481 0.400401 0.399855 0.399506 0.400227 0.400299 0.400887 0.399899 0.399969 0.399422 0.400902 0.399785 0.400133 0.40059 0.400223 0.399468 0.400067 0.400092 0.400322 0.400035 0.400232 0.399851 0.399489 0.399407 0.399768 0.400103 0.40009 0.39962 0.399372 0.399056 0.399529 0.399975 0.399971 0.400402 0.400223 0.399634 0.399931 0.399841 0.399996 0.399379 0.398866 0.399021 0.399317 0.399127 0.399315 0.399428 0.399329 0.399892 0.400182 0.399734 0.400643 0.400116 0.400191 0.399735 0.398984 0.400172 0.400404 0.400477 0.401158 0.40033 0.4004 0.399741 0.399682 0.399629 0.400116 0.400263 0.400749 0.399698 0.400056 0.400034 0.400444 0.399807 0.399779 0.400458 0.400212 0.399135 0.399817 0.400283 0.401066 0.399616 0.399147 0.399929 0.400165 0.399908 0.399839 0.400087 0.399638 0.400083 0.40037 0.399962 0.40003 0.400141 0.400421 0.400735 0.399421 0.39865 0.400496 0.400658 0.400591 0.400559
2380 0.400232 0.400565 0.400575 0.400366 0.399765 0.399767 0.399281 0.400386 0.400737 0.400309 0.400618 0.400226 0.400177 0.399896 0.399917 0.400457 0.400385 0.400606 0.399894 0.399424 0.400066 0.400191 0.400343 0.400244 0.401035 0.399475 0.39994 0.400001 0.399801 0.399549 0.400087 0.399833 0.400333 0.400246 0.400076 0.400929 0.400038 0.399565 0.400583 0.400483 0.400435 0.399734 0.400117 0.400213 0.400025 0.399319 0.40022 0.400238 0.400487 0.399691 0.399691 0.400248 0.399849 0.399684 0.399522 0.400082 0.399915 0.399709 0.399455 0.399586 0.399783 0.398979 0.399061 0.399705 0.399862 0.400141 0.39903 0.399882 0.399519 0.400937 0.399804 0.399029 0.399171 0.399834 0.398859 0.399298 0.400043 0.399959 0.399629 0.39916 0.400608 0.399535 0.400626 0.400251 0.400327 0.400439 0.399556 0.400071 0.400373 0.401086 0.400164 0.400402 0.39979 0.400536 0.399694 0.400125 0.399903 0.399597 0.400681 0.400407 0.400268 0.399743 0.400032 0.400344 0.399545 0.399101 0.399709 0.399762 0.400484 0.399649 0.400197 0.399719 0.399285 0.399808 0.399867 0.399692 0.399932 0.401016 0.400388 0.400654 0.399875 0.399963 0.400836 0.400952 0.40026 0.399379 0.399635 0.400427
